userId,page_logout,page_settings,page_nextsong,page_cancel,page_save_settings,page_upgrade,page_thumbs_down,page_roll_advert,page_add_to_playlist,page_thumbs_up,page_add_friend,page_submit_upgrade,page_error,page_help,page_submit_downgrade,page_home,page_about
100010,5,0,275,0,0,2,5,52,7,17,4,0,0,2,0,11,1
200002,5,3,387,0,0,2,6,7,8,21,4,1,0,2,0,20,3
125,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0
51,24,12,2111,1,1,0,21,0,52,100,28,0,1,12,0,75,2
124,59,20,4079,0,6,0,41,4,118,171,74,0,6,23,0,176,7
7,3,3,150,0,1,2,1,16,5,7,1,0,1,1,0,10,0
54,36,17,2841,1,3,1,29,47,72,163,33,1,1,17,1,129,5
15,27,16,1914,0,2,0,14,1,59,81,31,0,2,8,0,93,2
155,14,5,820,0,0,2,3,8,24,58,11,1,3,9,0,30,2
132,34,17,1928,0,4,1,17,2,38,96,41,1,3,16,0,83,4
154,2,0,84,0,0,0,0,10,1,11,3,0,0,1,0,6,0
100014,3,1,257,1,0,0,3,2,7,17,6,0,0,2,0,7,0
101,24,9,1797,1,2,1,16,8,61,86,29,1,3,12,0,74,2
11,14,6,647,0,2,9,9,39,20,40,6,2,1,3,1,37,7
138,18,17,2070,0,4,1,24,17,67,95,41,1,1,13,0,71,8
300017,41,23,3632,0,3,0,28,11,113,303,63,0,5,27,0,151,3
29,41,19,3028,1,4,5,22,22,89,154,47,1,0,28,0,121,2
69,10,3,1125,0,1,1,9,3,33,72,12,1,4,7,0,49,3
100021,7,0,230,1,0,2,5,30,7,11,7,0,2,0,0,15,1
42,44,28,3573,0,7,1,25,10,104,166,52,1,7,20,0,176,6
112,3,4,215,0,3,2,3,21,7,9,7,0,0,1,0,16,1
87,19,8,767,1,0,7,5,50,19,32,27,1,0,8,0,56,1
73,7,2,377,1,1,1,7,1,11,14,11,1,1,4,0,15,1
64,3,0,46,0,0,0,0,1,1,4,5,0,0,1,0,7,0
200010,9,1,237,0,0,3,7,17,5,14,8,0,1,1,0,14,0
3,3,0,214,1,0,0,3,1,4,14,1,0,0,1,0,8,1
30,20,13,1417,0,1,14,17,72,47,62,25,1,1,5,1,70,3
113,18,8,1585,0,3,4,12,1,50,82,32,1,3,7,0,72,1
34,3,0,53,0,0,0,0,3,4,2,0,0,0,0,0,8,0
133,2,0,32,0,0,0,0,1,3,2,1,0,0,0,0,3,0
59,9,4,724,0,0,3,9,11,14,30,16,2,4,3,1,33,0
146,9,4,650,0,0,11,9,56,13,38,9,0,1,6,0,30,1
139,5,0,377,0,0,1,5,1,13,18,6,1,1,1,0,18,1
8,8,0,251,0,0,3,3,18,6,16,5,0,2,0,0,21,1
28,24,6,1457,1,0,3,22,26,50,79,20,1,1,7,0,65,3
22,0,0,28,0,0,0,0,4,0,3,3,0,0,0,0,2,0
300018,24,12,1640,0,2,1,24,3,58,132,35,1,2,16,0,84,3
300012,4,5,642,0,1,2,7,4,14,52,16,1,0,7,0,28,0
100022,14,8,681,1,2,7,20,115,14,45,11,0,1,6,0,37,1
85,54,25,3616,0,3,7,38,33,108,192,58,3,2,24,2,157,6
52,20,11,1086,0,2,3,9,29,33,54,40,1,0,7,0,54,4
35,25,7,1610,0,1,6,14,55,64,71,31,2,3,9,2,90,5
16,9,2,675,0,0,3,4,12,19,42,10,1,0,8,0,26,1
300008,17,4,1393,0,0,0,16,1,43,111,23,0,3,9,0,48,2
71,5,0,264,0,0,3,4,6,5,14,9,1,1,1,0,12,1
98,39,13,2401,0,4,2,22,30,58,115,45,1,3,15,0,115,3
300013,2,2,335,0,0,0,2,0,7,38,8,0,0,2,0,12,0
99,9,3,505,0,0,2,5,10,11,27,12,1,0,1,0,24,2
47,4,3,202,0,0,0,2,15,3,10,0,0,0,1,0,11,0
100008,7,3,772,0,0,4,6,20,30,37,17,0,0,6,1,24,3
100025,7,7,490,1,3,1,7,30,9,20,3,0,1,5,1,31,1
110,2,1,178,0,0,0,2,17,3,14,7,0,0,0,0,10,1
107,5,1,246,0,1,4,2,19,10,14,2,0,0,0,0,11,0
300006,7,2,279,0,0,3,3,14,7,23,17,1,0,3,0,17,1
300002,12,10,1610,0,1,3,11,4,57,140,28,2,1,16,1,55,2
96,24,13,1802,0,1,4,24,17,52,92,40,1,2,9,1,71,3
43,4,5,177,0,0,1,2,18,4,12,3,0,0,0,0,14,0
300007,0,1,111,1,1,0,1,2,4,11,4,0,0,1,0,3,0
5,4,1,161,0,1,2,0,11,8,11,3,0,0,2,0,14,0
100,35,11,2682,0,5,1,27,25,61,148,49,1,3,18,1,105,12
100006,1,1,26,1,0,0,2,3,1,2,4,0,0,0,0,2,0
18,7,5,429,1,1,0,1,0,14,20,10,0,0,1,0,19,1
70,17,7,1490,1,4,2,12,4,41,90,26,1,2,9,0,53,2
100005,3,2,154,1,0,4,3,18,3,7,3,0,0,2,0,15,0
27,7,1,220,0,1,1,2,21,4,8,7,0,0,1,0,18,0
61,22,9,1622,0,1,6,11,49,50,78,26,2,2,10,2,75,1
75,5,3,812,0,0,0,4,1,27,48,21,0,1,2,0,22,3
131,18,10,1564,0,2,1,20,5,51,72,26,1,4,13,2,54,5
126,39,17,2577,0,4,3,21,35,72,135,33,1,2,15,0,119,7
140,89,24,5664,0,5,10,75,87,148,277,143,4,7,34,3,251,9
17,15,5,927,1,0,4,13,4,30,40,12,1,0,5,0,30,2
26,6,4,255,0,0,1,1,22,8,12,6,1,0,4,0,17,0
100007,5,3,423,1,1,0,6,5,9,19,17,0,0,3,0,20,0
120,19,9,1571,0,1,0,13,1,44,81,22,0,1,5,0,51,5
200007,1,0,65,0,0,0,0,0,0,2,1,0,1,2,0,4,0
46,13,10,918,0,2,1,11,13,30,44,18,1,0,3,0,47,3
300004,3,2,204,0,1,1,2,10,3,17,2,1,0,3,1,9,2
147,12,1,547,0,0,2,3,11,12,28,15,1,0,7,0,27,0
300001,22,17,1749,1,3,2,17,6,69,148,30,1,3,11,0,78,1
78,9,2,254,0,0,1,3,16,9,11,2,0,0,1,0,16,0
300015,29,16,2524,0,5,2,17,6,64,193,47,2,4,12,1,103,4
77,15,2,1047,0,0,2,4,6,23,46,8,1,0,5,1,54,6
89,7,10,667,0,3,2,6,13,12,30,14,1,0,5,0,27,2
136,28,12,2124,0,1,2,15,13,66,110,60,1,2,19,0,86,7
6,48,17,3159,0,2,1,31,9,83,165,41,1,4,24,0,132,3
118,30,16,2376,0,6,3,27,26,62,127,52,1,2,14,0,97,2
300019,6,3,798,0,0,1,8,0,24,83,19,1,0,7,0,24,2
200014,17,5,747,0,1,1,28,50,25,43,20,1,0,5,0,38,1
100009,13,4,518,1,1,4,8,42,12,23,7,1,0,6,1,23,1
300011,57,24,4619,0,0,9,41,21,146,437,93,2,2,30,1,193,25
90,1,0,37,0,0,0,0,3,0,0,0,0,0,2,0,2,0
104,21,9,1781,0,2,3,17,23,43,84,23,1,1,15,0,82,3
68,2,0,29,0,0,1,0,4,0,2,7,0,0,0,0,3,0
60,18,6,1644,0,0,1,9,3,58,84,27,1,2,7,0,66,3
100004,19,11,942,0,2,8,11,86,23,35,19,3,2,6,2,66,0
200003,19,5,751,0,1,5,25,54,16,37,14,1,0,2,2,40,0
100015,18,7,800,1,1,8,8,69,22,35,14,2,1,6,1,47,4
19,8,1,216,0,0,0,2,0,8,5,4,0,0,0,0,11,2
300023,19,14,1797,0,1,1,16,2,63,169,31,1,3,10,1,64,6
300024,1,1,88,0,0,0,0,0,2,6,2,0,0,0,0,2,0
41,20,9,1894,0,3,0,10,1,61,76,36,0,1,19,0,64,3
128,25,11,1728,0,1,1,18,11,53,87,28,1,2,6,0,78,3
23,5,1,656,0,0,1,6,19,21,28,15,1,0,4,0,19,1
200024,7,5,417,1,2,5,13,27,15,19,9,1,1,4,0,21,0
102,5,1,158,0,0,0,2,17,1,6,0,0,1,0,0,11,0
55,6,1,381,0,0,2,5,29,13,17,8,1,1,4,0,20,1
200008,22,10,1669,0,2,1,52,4,45,68,27,1,3,4,0,71,9
111,6,1,698,0,0,1,6,3,21,34,23,1,2,3,0,24,1
100016,9,1,530,0,0,0,5,16,6,25,13,0,1,3,1,21,1
100003,3,0,51,1,0,0,0,9,2,3,0,0,0,1,0,7,0
95,28,10,1694,0,0,5,25,50,46,91,32,0,5,18,1,67,4
93,10,5,640,0,1,3,4,43,17,35,13,1,0,7,0,31,2
40,13,7,1078,0,2,1,11,23,39,66,23,1,0,9,0,45,2
38,14,7,1322,0,1,2,21,2,30,65,21,1,3,12,1,58,1
103,14,5,1073,1,1,4,9,14,42,52,25,2,0,7,1,45,1
200005,3,0,139,0,0,2,0,5,5,7,3,1,0,0,0,9,0
25,27,11,1880,0,2,7,17,27,61,98,41,1,0,9,1,85,1
200009,18,8,963,0,1,1,32,33,27,41,20,1,0,7,1,40,0
135,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6,4,429,0,1,1,2,0,10,25,8,1,0,6,0,15,3
156,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
144,0,0,98,0,0,0,1,9,3,4,4,0,0,0,0,6,0
100024,0,3,22,1,0,0,0,3,0,5,0,0,0,0,0,1,0
115,15,14,1737,0,6,1,24,11,42,92,39,1,3,9,0,56,5
82,22,11,1705,0,0,4,20,15,53,84,29,1,2,9,0,78,3
200023,55,17,2955,0,3,15,73,116,73,163,66,3,2,23,2,153,6
53,19,14,1746,1,3,5,16,25,46,69,25,1,2,11,0,63,4
92,78,52,5945,0,10,5,72,85,181,292,110,1,3,40,1,266,21
122,1,1,41,1,0,2,1,2,1,3,1,1,0,0,0,6,0
117,6,6,343,0,1,3,3,22,10,11,10,0,2,1,0,27,0
108,9,6,633,0,2,1,6,19,15,20,15,1,0,5,0,29,1
300010,6,1,263,0,0,2,1,25,7,21,8,0,0,1,0,15,1
86,12,11,650,0,2,1,8,9,20,34,18,1,1,8,0,36,1
200017,11,4,493,1,0,2,16,9,11,29,8,1,1,2,0,27,0
58,21,11,1694,1,2,2,20,11,50,94,19,1,0,13,0,69,0
100011,0,1,11,1,0,0,1,2,2,0,0,0,0,0,0,4,0
100019,2,0,62,1,0,0,1,11,2,1,2,0,0,1,0,4,1
300014,3,2,280,0,1,1,8,0,10,27,3,1,1,4,0,16,1
81,21,21,1974,0,7,1,14,7,51,94,23,1,1,12,1,78,3
33,21,11,1257,0,2,0,9,1,33,79,31,0,1,7,0,60,1
114,17,3,1292,0,0,2,12,9,34,74,13,1,2,10,0,66,4
150,3,2,178,0,2,3,0,17,8,7,1,0,0,1,0,12,0
100012,6,0,476,1,0,1,9,38,12,18,2,1,0,2,1,27,1
200018,5,4,367,1,0,4,11,32,11,13,15,0,0,1,0,12,1
200025,12,3,790,0,0,5,27,37,16,48,24,2,1,2,1,45,2
200016,3,0,206,1,0,0,5,18,3,19,0,0,0,0,0,12,0
300003,1,0,27,0,0,0,0,2,1,2,0,0,0,1,0,1,0
153,12,3,941,0,0,1,4,0,32,52,16,1,3,7,0,43,1
200020,26,7,1169,1,1,6,36,69,32,56,10,1,0,7,1,67,2
141,13,3,929,0,0,3,5,11,27,42,17,1,0,5,1,39,1
148,9,3,398,0,0,3,3,32,5,28,7,0,0,3,0,26,1
97,34,12,1975,0,2,3,12,24,61,108,32,1,1,17,0,100,5
67,16,9,1098,0,1,2,10,17,37,54,14,1,0,8,0,39,3
106,11,4,839,1,1,1,6,4,28,43,29,1,0,5,0,33,0
84,3,0,73,0,0,0,0,10,2,4,0,0,0,1,0,4,0
143,0,3,101,1,1,1,0,15,2,5,6,0,0,1,0,12,0
79,4,1,251,0,1,4,2,17,6,13,3,1,0,0,0,14,2
300025,18,7,1297,0,2,2,13,2,42,139,17,1,2,6,0,47,1
9,34,12,2676,0,1,6,32,16,77,118,40,2,3,15,1,117,9
24,10,5,482,0,2,6,2,30,12,19,17,1,0,5,1,31,2
32,1,0,80,1,0,1,1,3,7,7,0,1,0,0,0,3,0
116,0,1,63,0,1,0,0,3,4,1,2,0,0,0,0,4,0
152,11,9,1409,0,0,2,12,14,43,81,24,1,2,9,0,53,4
88,26,14,2045,0,2,1,20,23,58,122,28,1,1,14,0,85,7
134,1,1,37,0,0,1,1,3,2,3,0,0,0,0,0,3,0
200001,4,6,115,1,2,1,1,3,3,10,0,0,0,1,0,10,0
149,3,3,186,0,0,1,1,13,5,11,9,0,0,1,0,7,0
105,12,7,764,1,3,1,6,2,12,45,13,1,2,2,0,35,1
20,23,13,1807,0,4,3,21,20,54,106,25,2,3,19,2,77,1
200011,11,8,650,1,3,3,24,27,18,37,13,1,1,6,1,32,1
200006,16,2,542,0,2,2,19,68,17,21,8,0,2,1,0,39,1
100023,5,2,407,1,0,1,2,6,11,10,14,1,0,3,0,20,1
142,22,14,1875,0,3,1,13,3,50,111,28,1,5,15,0,76,1
100013,13,7,1131,1,3,4,15,39,31,39,28,1,2,9,0,53,2
56,12,9,734,0,4,5,7,19,20,49,21,1,1,9,0,49,5
127,25,16,1779,0,1,0,15,2,52,93,26,0,2,12,0,75,9
36,17,4,1158,0,0,7,12,34,23,53,35,1,1,7,0,43,1
300009,15,6,1427,0,0,1,15,0,44,132,21,1,2,7,0,41,1
10,11,7,673,0,1,0,4,1,9,37,12,0,0,1,0,30,2
37,13,9,1412,0,3,1,11,4,37,75,33,1,3,5,0,58,4
300022,5,4,364,0,1,0,5,0,9,25,11,0,0,3,0,15,3
49,10,6,878,0,3,2,7,11,28,47,22,1,4,8,1,49,0
300021,44,18,3816,0,6,1,36,5,107,336,89,1,5,16,1,154,7
200004,25,18,1742,0,7,0,54,1,67,85,21,0,1,9,0,69,3
300005,3,0,312,0,0,1,4,2,9,35,8,1,1,2,0,15,1
100017,0,0,52,1,0,0,1,14,1,2,0,0,0,0,0,3,0
63,0,1,87,0,1,1,3,5,1,6,0,0,0,0,0,2,0
300020,3,2,242,0,0,0,1,0,10,18,8,0,2,2,0,7,0
65,21,23,2113,0,7,3,17,8,68,111,53,1,0,13,0,80,6
4,24,10,2048,0,2,4,26,4,59,95,46,1,4,12,0,80,6
121,18,11,726,1,3,3,8,28,20,28,20,1,0,3,0,39,2
39,124,35,8002,0,6,14,69,128,240,388,122,4,7,46,3,355,16
200012,1,1,66,0,0,0,1,8,0,3,3,0,0,0,0,1,0
62,20,11,1591,0,2,0,21,1,39,77,34,0,4,10,0,61,3
12,11,7,867,1,1,7,9,21,19,42,13,2,2,6,1,46,3
83,13,11,1235,0,2,4,10,19,28,69,18,1,3,10,0,58,1
109,12,6,717,0,1,3,5,7,16,23,12,1,0,10,1,34,1
123,4,1,150,0,0,1,1,14,8,5,5,0,0,1,0,6,0
200022,11,2,348,0,0,2,10,34,5,16,6,0,1,2,0,19,0
13,35,14,1280,0,4,6,14,74,37,57,32,2,0,8,2,75,6
200019,12,3,495,0,0,3,17,10,18,28,8,1,0,3,1,29,5
14,8,6,1230,0,0,0,12,1,34,54,19,0,2,10,0,42,2
21,6,2,499,0,1,0,2,0,9,27,8,0,1,4,0,22,2
66,19,5,1045,0,2,3,8,35,38,52,24,1,0,3,0,44,0
94,3,2,146,0,1,1,1,12,3,4,1,0,0,0,0,12,1
91,31,12,2580,0,1,1,24,5,64,124,42,1,3,9,0,90,5
74,25,17,2400,0,1,3,25,22,80,135,43,2,1,13,1,84,4
137,5,1,154,0,0,4,1,10,4,8,8,1,0,1,0,12,0
72,1,0,85,0,0,2,1,10,3,6,3,0,1,0,0,5,0
300016,9,4,583,0,2,1,4,2,26,56,11,1,1,0,0,25,5
151,1,4,138,0,2,0,1,0,2,4,3,0,0,1,0,7,0
200015,7,4,258,1,1,0,10,22,13,10,2,0,1,1,0,18,0
129,5,5,331,1,1,1,7,2,11,7,11,1,1,2,0,15,2
76,6,0,212,0,0,1,2,15,4,13,3,0,1,2,0,12,1
2,11,6,755,0,4,0,6,0,13,29,20,0,0,4,0,35,3
80,8,6,367,0,1,4,4,22,13,11,9,0,0,4,0,23,2
100018,17,9,1002,0,3,4,9,80,31,46,23,2,0,7,2,43,1
100002,1,0,195,0,0,0,0,3,5,5,1,0,0,0,0,6,0
50,6,9,503,0,3,3,3,37,12,27,9,1,2,7,0,25,2
145,15,12,1129,0,3,0,8,0,27,61,34,0,0,1,0,42,3
45,19,15,1484,0,4,4,13,13,43,67,22,1,0,5,0,65,3
57,2,1,92,0,1,0,2,6,0,3,0,0,0,1,0,4,0
200021,20,9,1227,1,2,3,35,11,30,55,19,1,1,4,0,54,3
119,2,3,173,0,1,2,1,9,5,7,4,0,1,3,0,11,1
100001,7,1,133,1,0,2,2,14,3,8,2,0,1,1,0,11,0
